ID RA Dec SN Vhel Vhel_err CaT_EW CaT_EW_err Mg_EW Mg_EW_err GoodstarProb MembershipProb MembershipProb_em MembershipProb_ep Member
Boo1_0 209.8390417 14.6017222 297.4 -13.1 0.7 6.93 0.03 0.94 0.0 0.999 0.0 0.0 0.0 -1
Boo1_1 209.844125 14.5501944 111.37 140.0 0.7 4.78 0.09 0.27 0.01 1.0 0.0 0.0 0.0 -1
Boo1_2 209.8895833 14.4726667 7.26 117.8 5.9 1.01 0.2 -0.5 0.17 0.999 0.901 0.043 0.032 1
Boo1_3 209.8932083 14.50475 4.42 77.9 5.6 2.05 0.31 -0.43 0.28 0.977 0.143 0.063 0.103 1
Boo1_4 209.8949167 14.5842778 17.03 -226.8 2.4 4.37 0.43 0.19 0.07 1.0 0.0 0.0 0.0 -1
Boo1_5 209.8985833 14.6263889 50.35 -18.1 1.0 6.37 0.17 0.42 0.02 0.98 0.0 0.0 0.0 -1
Boo1_6 209.9066667 14.4465556 9.55 102.7 4.2 1.91 0.54 -0.21 0.13 1.0 0.998 0.001 0.001 1
Boo1_7 209.914 14.444 38.7 101.2 1.1 2.5 0.16 0.07 0.03 1.0 1.0 0.0 0.0 1
Boo1_8 209.9174167 14.4077778 899.33 -49.3 0.7 4.21 0.02 0.97 0.0 0.999 0.0 0.0 0.0 -1
Boo1_9 209.9194167 14.4533333 5.62 90.1 8.4 0.88 0.32 -0.49 0.22 0.995 0.953 0.016 0.013 1
Boo1_10 209.9240833 14.6764444 4.47 104.6 86.3 2.41 0.69 0.18 0.25 0.847 nan nan nan -1
Boo1_11 209.92575 14.4950556 88.63 90.9 0.7 2.17 0.05 0.08 0.01 1.0 1.0 0.0 0.0 1
Boo1_12 209.9297083 14.6816944 11.65 -135.0 3.8 4.62 0.66 0.43 0.09 0.928 0.0 0.0 0.0 -1
Boo1_13 209.931 14.5773056 21.82 100.5 1.7 2.52 0.24 -0.0 0.05 1.0 1.0 0.0 0.0 1
Boo1_14 209.93575 14.6193333 34.12 97.7 1.1 2.4 0.35 0.01 0.03 0.993 1.0 0.0 0.0 1
Boo1_15 209.93625 14.4338333 17.38 -660.1 5.4 2.16 3.92 0.01 0.06 0.882 nan nan nan -1
Boo1_16 209.9372917 14.5416944 25.06 103.9 1.5 3.28 0.36 -0.05 0.05 0.99 0.993 0.006 0.003 1
Boo1_17 209.93775 14.3909167 17.16 102.6 2.8 2.95 0.53 -0.08 0.07 1.0 0.991 0.007 0.004 1
Boo1_18 209.9404583 14.43125 5.47 99.0 7.6 1.78 0.82 0.17 0.22 0.978 0.984 0.006 0.005 1
Boo1_19 209.9405 14.37525 10.2 90.3 4.1 2.68 0.72 -0.3 0.12 1.0 0.929 0.035 0.025 1
Boo1_20 209.94275 14.5692222 51.66 143.5 0.9 3.24 0.16 0.07 0.02 1.0 0.0 0.0 0.0 -1
Boo1_21 209.9430833 14.4199444 37.95 99.3 1.1 2.05 0.11 -0.05 0.03 1.0 1.0 0.0 0.0 1
Boo1_22 209.9460833 14.48125 10.73 103.7 3.7 2.64 1.05 -0.1 0.11 0.955 0.996 0.002 0.001 1
Boo1_23 209.9482083 14.3929167 992.35 36.1 0.7 7.07 0.01 1.0 0.0 0.982 0.0 0.0 0.0 -1
Boo1_24 209.9505833 14.6129444 19.88 104.4 1.7 2.77 0.51 0.06 0.06 1.0 0.999 0.001 0.0 1
Boo1_25 209.9514167 14.5343056 51.12 106.7 0.9 2.87 0.08 0.04 0.02 0.993 1.0 0.0 0.0 1
Boo1_26 209.95225 14.7012222 25.92 111.5 1.3 2.93 0.21 0.0 0.04 1.0 1.0 0.0 0.0 1
Boo1_27 209.954 14.4079167 19.13 -33.3 2.1 5.07 0.39 0.66 0.05 1.0 0.0 0.0 0.0 -1
Boo1_28 209.958875 14.329 28.22 102.6 1.8 3.07 0.31 0.09 0.04 1.0 0.999 0.002 0.0 1
Boo1_29 209.9614583 14.5206111 7.98 94.8 4.5 2.17 0.22 -0.2 0.15 1.0 0.999 0.001 0.001 1
Boo1_30 209.962125 14.50075 1061.19 100.3 0.7 4.4 0.01 0.24 0.0 0.982 1.0 0.0 0.0 1
Boo1_31 209.9628333 14.5138333 5.36 104.8 5.4 2.08 0.94 -0.36 0.23 0.999 0.993 0.002 0.002 1
Boo1_32 209.963875 14.6516111 30.46 113.7 2.2 5.11 0.35 -0.0 0.04 1.0 0.998 0.003 0.001 1
Boo1_33 209.9654583 14.5953611 108.54 100.1 0.7 3.04 0.06 0.1 0.01 0.999 1.0 0.0 0.0 1
Boo1_34 209.9661667 14.50525 12.6 34.2 2.8 3.54 0.93 0.13 0.09 1.0 0.0 0.0 0.0 -1
Boo1_35 209.967125 14.6775833 15.14 92.0 2.4 1.94 0.21 -0.08 0.08 0.959 0.994 0.007 0.003 1
Boo1_36 209.9680417 14.546 19.13 99.9 2.0 3.4 0.34 -0.04 0.06 1.0 0.997 0.003 0.001 1
